,zip,stabbr,cty_name,est_per_capita,MEDFAMINC
25645,87311,NM,MCKINLEY,-0.7559548060073192,-1.389760719029144
1450,6065,CT,NORTHWEST HILLS PLANNING REGIO,-0.08743144716779018,0.6756212296833001
21241,70658,LA,ALLEN PARISH,-0.4157774006831563,0.07731614136580632
20247,67062,KS,HARVEY,-0.03750277820922048,0.37942756604026306
8734,31798,GA,IRWIN,-0.5002668072046002,-1.2313980998784724
26236,91775,CA,LOS ANGELES,-0.2796309096521675,0.8637671344005542
17044,57335,SD,GREGORY,0.3273167809057692,-0.5686644301907317
16952,57062,SD,BON HOMME,-0.40197109606566983,0.05725687627338791
5632,21061,MD,ANNE ARUNDEL,0.02094827094218552,0.10543245199396065
21223,70601,LA,CALCASIEU PARISH,0.4495325347760375,-0.6327318336576525
4260,16153,PA,MERCER,-0.15927170692373616,-0.4413353278104636
7960,29530,SC,FLORENCE,-0.5072837091499028,-0.7001331870014297
28382,99110,WA,STEVENS,-0.07491893457001376,-0.13744579653501682
5006,18603,PA,COLUMBIA,-0.11175421856151309,-0.5912519406064327
1718,7039,NJ,ESSEX,0.46901570021348765,4.220999094563512
3859,15106,PA,ALLEGHENY,0.14774795922093623,0.21539723209893583
5806,21769,MD,FREDERICK,-0.24857348069054203,1.8472823480731466
28133,98355,WA,LEWIS,0.014961071944149666,0.635252653257699
17201,58013,ND,SARGENT,0.3627855335634292,-0.18087049368106942
26643,93280,CA,KERN,-0.5480705458875134,-1.1308239452599755
22137,73654,OK,DEWEY,0.35448083335374475,-0.07668456002931176
15461,53209,WI,MILWAUKEE,-0.22142918606178041,-1.0570325213188907
3546,14213,NY,ERIE,-0.37719468345737,-1.030027527316355
4507,16946,PA,TIOGA,-0.31819119670575874,-0.7474197094215074
5790,21723,MD,HOWARD,0.31437359104935786,4.438067014462494
20055,66441,KS,GEARY,-0.1321039268504163,-0.6038098184759246
18252,61235,IL,HENRY,-0.07443225662540472,-0.2503277827822412
21868,72739,AR,BENTON,1.0515686779892917,0.08537318690154225
26516,92676,CA,ORANGE,-0.12304474677443156,1.344300443318101
18848,62557,IL,CHRISTIAN,-0.03301698843026845,-0.5820835784450781
544,2888,RI,KENT,0.3530877483744191,0.2939951004458218
4890,18091,PA,NORTHAMPTON,0.17417835875631135,0.00666418689209438
1603,6516,CT,SOUTH CENTRAL CONNECTICUT PLAN,-0.3455620893991462,0.021861441747430765
9316,33476,FL,PALM BEACH,-0.5072193218508219,-1.558819760701396
15804,54476,WI,MARATHON,0.11507947964636824,-0.08315797937354097
19519,64493,MO,CLINTON,-0.569273880487233,2.091383044890305
13673,48195,MI,WAYNE,-0.14736938845489791,-0.3381773620374033
17284,58271,ND,PEMBINA,0.8745274945775431,0.4650822949598281
3093,12943,NY,ESSEX,2.1647670673947124,-0.1924559695031449
15002,51541,IA,MILLS,-0.20762981958635282,-0.5976142282881001
21359,71078,LA,DE SOTO PARISH,-0.27624832198887334,0.4397164929800802
2923,12520,NY,ORANGE,-0.14210352961351624,1.3251024486105372
26068,90603,CA,LOS ANGELES,-0.08764513284462082,1.061387013351208
25729,87943,NM,SIERRA,0.20882162298310458,0.42254665111427053
25494,85920,AZ,APACHE,0.010471720163409725,-0.5802499060128071
5145,19038,PA,MONTGOMERY,-0.1116653293938075,1.3703330352732201
21010,69154,NE,GARDEN,0.12397261842351191,-1.0143579628951307
15123,52201,IA,WASHINGTON,-0.28401183396108876,0.30035738812748913
22513,75007,TX,DENTON,-0.009682206135640473,0.7952266815155178
13699,48225,MI,WAYNE,-0.38004669227103766,-0.7343339561548466
19671,65058,MO,OSAGE,-0.42871874840567264,0.27407474993160574
11061,39346,MS,WINSTON,-0.38741850967310193,-0.9741005181320916
1855,7641,NJ,BERGEN,-0.14382602871924757,3.817396679054423
23149,76649,TX,BOSQUE,-0.5162966432752362,0.16641595182478947
5431,20147,VA,LOUDOUN,0.07617635764366,2.7504493697135035
19603,64771,MO,VERNON,-0.42300845327004666,-0.7811759519246769
28023,98116,WA,KING,0.15454348483026273,2.5203512623791418
19535,64630,MO,LINN,-0.5531152460434856,-0.9952433169344883
12018,43719,OH,BELMONT,-0.3238751357600746,-0.2836117157195227
13502,47940,IN,MONTGOMERY,-0.43498617613370055,-0.4066066832598777
14352,49757,MI,MACKINAC,2.920469289589355,-0.08165770192895566
10517,37754,TN,KNOX,-0.37323832094403214,-0.29453040156622695
3953,15359,PA,GREENE,0.6752678804705873,-0.3403722123730003
2299,10454,NY,BRONX,-0.2876172331865637,-1.4825556572683094
5744,21631,MD,DORCHESTER,-0.32209373615990844,-0.3718780387092918
27042,95054,CA,SANTA CLARA,1.647891855711827,3.051782872750027
26197,91606,CA,LOS ANGELES,-0.16572801329029432,-0.4190534294668077
3426,13810,NY,OTSEGO,-0.4861723319193925,0.21595289041174517
11971,43533,OH,FULTON,-0.033794994608381534,-0.6641820941626632
25323,85254,AZ,MARICOPA,0.8169555199897734,1.1337892915102696
11502,41360,KY,WOLFE,-0.4328131257061309,-1.5504848860092555
26100,90744,CA,LOS ANGELES,-0.36899293997512844,-0.6725169688548037
2801,12158,NY,ALBANY,-0.2903269330302959,0.6974863842923489
28069,98248,WA,WHATCOM,0.09344352067931098,0.17902939552556227
7682,28698,NC,WATAUGA,-0.34640112741010115,0.04361546469391777
3865,15122,PA,ALLEGHENY,-0.22458296848078385,-0.11288569910884248
12675,45459,OH,MONTGOMERY,0.7669838045839757,0.7085439847172554
7406,28139,NC,RUTHERFORD,-0.16241362482181051,-0.6477346081035057
3794,14904,NY,CHEMUNG,-0.4065648587879226,-0.8532170521804122
9652,34736,FL,LAKE,-0.19343204817915427,-0.0850750005527333
27737,97341,OR,LINCOLN,-0.0431677531570105,-0.27035926495901913
10662,38119,TN,SHELBY,0.6021814311150774,0.5270659797537138
7686,28705,NC,MITCHELL,-0.3488884621895055,-0.4823706942114359
19402,64078,MO,CASS,-0.32439140068850697,0.21395252048563143
22433,74740,OK,MCCURTAIN,-0.524785227118632,-1.018692097735044
28245,98610,WA,SKAMANIA,-0.34285428000157964,-0.11771992643028405
11836,43143,OH,MADISON,-0.38210098818626054,0.12249116219720844
12825,45876,OH,PUTNAM,0.5305231763402772,0.08392847528823787
27303,95659,CA,SUTTER,-0.346990387047466,0.1895591205532999
2975,12721,NY,SULLIVAN,-0.31729709562197156,0.7576086137383232
5715,21524,MD,ALLEGANY,-0.40271984775793923,-0.7835097168384763
1721,7042,NJ,ESSEX,0.4545625647357702,2.7094973520594525
24002,79103,TX,POTTER,-0.30261218636180903,-0.8736097122605163
13046,46544,IN,ST. JOSEPH,-0.2444505643212302,-0.45300415237946046
23325,77301,TX,MONTGOMERY,0.10066284915059395,-0.5714982875860595
7667,28676,NC,SURRY,-0.3221085767090849,-0.43711232463311234
17095,57445,SD,BROWN,0.32213706964443406,0.24937573792722906
7809,29107,SC,ORANGEBURG,-0.39042839660237577,-1.328527172957551
1417,5905,VT,ESSEX,-0.5861607672786587,-0.22426740791148156
26623,93247,CA,TULARE,-0.44320036592516804,-0.9288143656381276
23950,79010,TX,OLDHAM,-0.33875548911420916,0.305330530027133
11515,41537,KY,LETCHER,-0.39866036596946225,-1.267182495223396
16894,56755,MN,KITTSON,0.6724550279206876,-0.6670715173892718
17616,59410,MT,LEWIS AND CLARK,0.5368900295857751,-1.1764157098259849
9613,34488,FL,MARION,-0.4220418564737414,-0.8821668502777806
8903,32333,FL,GADSDEN,-0.21910515680882078,-0.2109038254884161
8158,30039,GA,GWINNETT,-0.4326048033970297,-0.02047972168864355
10374,37217,TN,DAVIDSON,0.1256628194113316,-0.8258230973589101
7615,28590,NC,PITT,-0.23109356794964428,0.04028151481706152
18438,61564,IL,TAZEWELL,-0.5170690615151288,-0.5326855544363247
13554,48026,MI,MACOMB,0.2951128143847706,-0.3058936140631786
19287,63736,MO,SCOTT,-0.1993816615901623,-0.8079031167708077
24970,83864,ID,BONNER,0.7382827354302828,-0.4041895695991569
12047,43768,OH,GUERNSEY,-0.45020300492734283,0.14327278309627903
18003,60475,IL,COOK,-0.35573716934770455,-0.4140525046515233
20392,67505,KS,RENO,0.1402643194202928,-0.7538931287657366
2074,8223,NJ,CAPE MAY,0.4763100982796759,0.7896423154717837
5227,19153,PA,PHILADELPHIA,0.35638664077321314,-0.848104995702566
28329,98922,WA,KITTITAS,0.6653261896580839,0.155302785568602
7121,27360,NC,DAVIDSON,-0.21191483966114355,-0.5647748220010661
1729,7054,NJ,MORRIS,0.9298249277781888,1.1864101337333173
6471,24363,VA,GRAYSON,-0.4023996683174731,-0.6115056861083344
17389,58538,ND,SIOUX,-0.5231322389918652,-1.411570307806912
17267,58237,ND,WALSH,0.30456162830164407,-0.39235404753631725
12165,44094,OH,LAKE,0.2618574050112703,0.44338383784462204
24420,80807,CO,KIT CARSON,0.62843424808069,-0.4157472625055919
9583,34293,FL,SARASOTA,-0.20527095226997696,0.028973868151390757
11270,40177,KY,HARDIN,-0.45225754430023263,-0.997299252691883
9595,34449,FL,LEVY,-0.2827688620808015,-0.9978826939203328
27069,95129,CA,SANTA CLARA,0.010560508270677178,3.295327911254376
16708,56368,MN,STEARNS,0.14904008614923148,0.22545464756078548
14288,49655,MI,OSCEOLA,-0.3508705194390569,-0.6943543405482122
9336,33538,FL,SUMTER,-0.45410573151203265,-0.8193496780146808
4266,16161,PA,MERCER,0.8378685466456821,-0.962264996069252
15658,54024,WI,POLK,0.5076626032308862,-0.16070009692608914
25065,84106,UT,SALT LAKE,0.29537230190800506,0.6388088664596789
