ZCTA20,TOTPOP,MEDFAMINC
00601,16834,19628.0
00602,37642,24126.0
00603,49075,24062.0
00606,5590,21439.0
00610,25542,26914.0
00611,1315,24600.0
00612,63312,28325.0
00616,9625,27305.0
00617,22573,22624.0
00622,7577,26383.0
00623,39406,28896.0
00624,21648,22325.0
00627,32733,27481.0
00631,1431,18929.0
00636,1057,
00637,22882,25081.0
00638,17605,23112.0
00641,24299,22280.0
00646,35926,41221.0
00647,4702,20019.0
00650,13767,22128.0
00652,3924,27156.0
00653,8980,13704.0
00656,18121,24380.0
00659,37066,31350.0
00660,15483,27036.0
00662,40480,24882.0
00664,14967,20669.0
00667,23370,19968.0
00669,27529,21201.0
00670,8746,21822.0
00674,39385,26970.0
00676,36683,24830.0
00677,15304,30191.0
00678,25039,24502.0
00680,43173,23109.0
00682,30414,24606.0
00683,29547,25107.0
00685,40346,21299.0
00687,28659,25302.0
00688,11478,21079.0
00690,5781,24000.0
00692,33302,26590.0
00693,55570,28764.0
00694,98,
00698,33506,27842.0
00703,24475,26403.0
00704,6831,24899.0
00705,24401,26770.0
00707,10487,25723.0
00714,15797,19293.0
00715,2040,16329.0
00716,27166,26130.0
00717,15029,21870.0
00718,23289,22616.0
00719,29523,22346.0
00720,20816,19866.0
00723,15978,23956.0
00725,77244,31932.0
00727,53258,41328.0
00728,38590,24634.0
00729,47826,33238.0
00730,32267,23687.0
00731,10473,21803.0
00735,11164,27917.0
00736,45867,32686.0
00738,30093,27349.0
00739,34678,28726.0
00740,2034,18851.0
00741,3627,28810.0
00745,47494,32182.0
00751,19570,24249.0
00754,36576,24686.0
00757,20048,26576.0
00765,8199,20134.0
00766,22053,26942.0
00767,30779,26879.0
00769,34374,26353.0
00771,34964,29087.0
00772,17316,19797.0
00773,17716,26175.0
00775,1186,36912.0
00777,37726,30973.0
00778,40476,45674.0
00780,13908,30294.0
00782,18639,20625.0
00783,34205,24980.0
00784,35917,23538.0
00786,154,
00791,46537,31119.0
00794,28335,23911.0
00795,42900,27056.0
00901,8220,65441.0
00906,148,
00907,16607,69133.0
00909,5260,25729.0
00911,7087,61125.0
00912,5955,41667.0
00913,7068,5070.0
00915,24713,13632.0
00917,18544,27988.0
00918,15976,63515.0
00920,17293,34924.0
00921,33555,23833.0
00923,24760,24123.0
00924,47080,25398.0
00925,5556,17348.0
00926,93751,48046.0
00927,13766,57007.0
00934,128,
00949,68031,36431.0
00950,0,
00951,298,21696.0
00952,8168,24335.0
00953,66079,37769.0
00956,65841,32576.0
00957,41009,35473.0
00959,47721,38666.0
00960,3405,
